rn,Date,name,category,hazards,tier,band
26-389,2026-04-09,Children's Loungewear Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-387,2026-04-09,Easymake Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-386,2026-04-09,Various Brands of Iron-Containing Dietary Supplements,Feeding & high chairs,chemical,4,ACT SOON
26-381,2026-04-02,"Tuymec Minoxidil Hair Growth Kits, 5% Minoxidil with Biotin Spray",Feeding & high chairs,chemical,4,ACT SOON
26-380,2026-04-02,Member's Mark Children's Valentine SS Notch Collar Pajama Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-378,2026-04-02,Sangohe Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|labeling|suffocation,1,ACT NOW
26-375,2026-04-02,TecFlox Hair and Beard Growth Serum Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-374,2026-04-02,ELENKER Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-369,2026-04-02,Coluans Christmas Light-Up Rings Party Favors,Toys,battery|burn,2,ACT NOW
26-368,2026-04-02,Gavoyeat Halloween Light-Up Rings Party Favors,Toys,battery|burn,2,ACT NOW
26-365,2026-04-02,Beestech Children's Spiral Tower Toys,Toys,choking,3,ACT NOW
26-350,2026-03-26,MPINOI Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-346,2026-03-26,CCCEI Power Strips,Sleepwear & apparel,burn|fire,3,ACT NOW
26-345,2026-03-26,GLMZZ Fidget Magnet Ball Toys,Toys,chemical|magnet,2,ACT NOW
26-344,2026-03-26,Sunnyyes LED Mini Lights,Button cells & batteries,battery|burn,2,ACT NOW
26-342,2026-03-26,AirClub Convertible Bassinets,"Sleep — cribs, bassinets, loungers",fall,3,ACT NOW
26-341,2026-03-26,Vive Health Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-340,2026-03-26,4our Kiddies Plastic Tip Restraint Kits,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-332,2026-03-19,Goregent Infant Walkers,"Walkers, swings & bouncers",fall,3,ACT NOW
26-331,2026-03-19,BUILT LUUM Tumblers,Feeding & high chairs,battery|burn|choking,2,ACT NOW
26-324,2026-03-12,Playground Swing Set Seats,"Walkers, swings & bouncers",fall,3,ACT NOW
26-323,2026-03-12,17 Stories Furniture 14-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-321,2026-03-12,LIVEHOM 11-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-320,2026-03-12,ProRider Bicycle Helmets,Helmets & wheeled toys,crash|labeling,3,ACT NOW
26-319,2026-03-12,Kluster Fun Tabletop Magnet Chess Games,Toys,chemical|magnet,2,ACT NOW
26-317,2026-03-05,Cubimana Island Storm 3 In 1 Building Sets with LED Lights,Toys,battery|burn,2,ACT NOW
26-315,2026-03-05,HALO Magic Sleepsuits,"Sleep — cribs, bassinets, loungers",choking,3,ACT NOW
26-312,2026-03-05,Tomum Hair Regrowth Treatment with Minoxidil for Men and Women Spray Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-309,2026-03-05,Forever 21 Kids Disney Mickey Mouse Pajama Pants,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-288,2026-02-26,Trankerloop Baby Bath Seats,Bath & water safety,drowning|tipover,1,ACT NOW
26-308,2026-02-26,Evajoy 48-inch and taller above-ground pools,Bath & water safety,drowning,1,ACT NOW
26-307,2026-02-26,Babysense Max View Baby Monitors,Nursery electricals & monitors,fire|overheat,3,ACT NOW
26-305,2026-02-26,SumDirect LED Mini Lights,Button cells & batteries,battery|burn,2,ACT NOW
26-303,2026-02-26,Joyreal Busy Board Toys,Toys,choking|laceration,3,ACT NOW
26-302,2026-02-26,Zelbuck Magnetism Ball Game Toys,Toys,chemical|magnet,2,ACT NOW
26-301,2026-02-26,TheKiddoSpace Children's Sensory Swing,"Walkers, swings & bouncers",entanglement|strangulation,1,ACT NOW
26-300,2026-02-26,Children's Christmas Tree Toy Play Sets,Outdoor & play equipment,chemical|lead,4,ACT SOON
26-299,2026-02-26,TheKiddoSpace Peg Dolls in Cups Toys,Feeding & high chairs,choking,3,ACT NOW
26-298,2026-02-26,TheKiddoSpace LED Soccer Hover Balls,Toys,burn,3,ACT NOW
26-297,2026-02-26,TheKiddoSpace Children's Montessori Egg Toys,Toys,choking,3,ACT NOW
26-296,2026-02-26,KiddoSpace Children's Flashcard Talking Toys,Outdoor & play equipment,chemical|lead,4,ACT SOON
26-295,2026-02-26,TheKiddoSpace Reusable Water Balloons,Toys,chemical,4,ACT SOON
26-294,2026-02-26,TheKiddoSpace Fingerpainting Kits,Jewelry & accessories,chemical,4,ACT SOON
26-293,2026-02-26,TheKiddoSpace Print and Cursive Handwriting Kits,Outdoor & play equipment,chemical|lead,4,ACT SOON
26-292,2026-02-26,TheKiddoSpace Children's Story Books,Toys,choking,3,ACT NOW
26-291,2026-02-26,Grtard Magnet Stick Figure Men Toy Sets,Toys,chemical|magnet,2,ACT NOW
26-290,2026-02-26,High Chairs,Feeding & high chairs,entrapment|fall,1,ACT NOW
26-289,2026-02-26,Magnetic Chess Games,Toys,chemical|magnet,2,ACT NOW
26-286,2026-02-26,Tubby Tots Fizzy Flask Bath Magic bath foam set,Bath & water safety,,4,ACT SOON
26-264,2026-02-26,Vevor Retractable Baby Gates,"Gates, rails & childproofing",entrapment,1,ACT NOW
